epoch,dense_44_acc,dense_44_loss,dense_45_acc,dense_45_loss,dense_46_acc,dense_46_loss,dense_47_acc,dense_47_loss,loss,val_dense_44_acc,val_dense_44_loss,val_dense_45_acc,val_dense_45_loss,val_dense_46_acc,val_dense_46_loss,val_dense_47_acc,val_dense_47_loss,val_loss
0,0.75125754,0.51314414,0.80746984,0.43200806,0.7707495,0.48257938,0.82256037,0.4161948,1.843926293727172,0.7375566,0.4445945,0.8597285,0.32892329,0.85633487,0.34144947,0.88687783,0.27640298,1.3913702142690372
1,0.76483905,0.4418715,0.854502,0.34007418,0.83928573,0.36463717,0.8830483,0.2997079,1.4462931230250238,0.79751134,0.4467084,0.8699095,0.33854175,0.8552036,0.33336705,0.84162897,0.35294393,1.4715616526854878
2,0.78948694,0.40551895,0.8680835,0.30055135,0.87814385,0.29454866,0.9147384,0.2262975,1.2269185136647733,0.7918552,0.39817387,0.88235295,0.25984812,0.91402715,0.20931065,0.9423077,0.15471695,1.0220497458825801
3,0.7928823,0.3981854,0.88292253,0.27173892,0.8824195,0.27132905,0.91939133,0.21152344,1.1527784886956327,0.76583713,0.6931314,0.8766968,0.3396024,0.85746604,0.34209058,0.82466066,0.39134976,1.766173794230032
4,0.8172787,0.3779279,0.8952465,0.24756917,0.89474344,0.2562098,0.93209255,0.1788577,1.0605660109788688,0.7669683,0.4645639,0.8733032,0.28796694,0.8914027,0.253471,0.9434389,0.16370058,1.169702943355419
5,0.8257042,0.37381607,0.89788735,0.24916573,0.8953722,0.25274083,0.93536216,0.18474519,1.0604699690863373,0.78280544,0.43957797,0.8665158,0.2852462,0.89705884,0.27436024,0.96153843,0.10756259,1.1067465119028665
6,0.8342555,0.36121973,0.9000251,0.24077561,0.8995221,0.24719131,0.9383803,0.17759266,1.0267809181081502,0.84049773,0.3397365,0.90384614,0.23768026,0.9004525,0.21701989,0.9513575,0.1063757,0.9008125249769285
7,0.8380282,0.35806033,0.90228873,0.24293363,0.902666,0.25104904,0.9431589,0.16582789,1.0178731542444792,0.8495475,0.35838994,0.88914025,0.23747137,0.9049774,0.24235618,0.9445701,0.18986835,1.028086249081279
8,0.8459507,0.3538811,0.9068159,0.23431934,0.89939636,0.24103649,0.94014084,0.16125222,0.9904911951043494,0.8303167,0.3469221,0.89253396,0.23286317,0.92873305,0.17825197,0.9638009,0.10453754,0.8625750270829983
9,0.8484658,0.33794123,0.90794766,0.22629124,0.9081992,0.2259324,0.944668,0.15435775,0.9445246511840113,0.8348416,0.3777704,0.8766968,0.4094436,0.9117647,0.20005764,0.959276,0.11824625,1.1055173535955194
